,title,link,image,age_upper,age_lower,#서울시민,#노인,#다문화가정,#아동/청소년,#임산부,#장애여부,#저소득층,#청년,#교육지원,#금융지원,#문화지원,#물품지원,#상담지원,#의료지원,#주거지원,#취업지원,#편의시설
13,어린이 예방접종 일정,https://nip.cdc.go.kr/irgd/introduce.do?MnLv1=1&MnLv2=4,https://nip.cdc.go.kr/irgd/reference.do?service=getImage&GUBUN=PRO&GRPID=PS&SEQ=30,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14,질환별 예방접종,http://www.nrc.go.kr/nrc/board/nrcHtmlView.jsp?menu_cd=M_05_04_01_04,http://health.chosun.com/site/data/img_dir/2018/12/21/2018122101707_0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,서울시 야간 휴일 진료 참여기관 명단,http://news.seoul.go.kr/welfare/archives/216356,http://pds.medicaltimes.com/NewsPhoto/201703/1110376_3.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,국가암 조기검진,http://news.seoul.go.kr/welfare/archives/200754,http://www.sisaanseong.com/news/photo/201805/383_519_726.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,서울시 보건소 HIV 신속검사,http://news.seoul.go.kr/welfare/archives/229549,http://news.seoul.go.kr/welfare/files/2014/04/54eb2391e49912.21219357.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,우리아이 건강관리의사,http://news.seoul.go.kr/welfare/archives/254983,http://news.seoul.go.kr/welfare/files/2016/11/5822ec8fdd95e2.47592680.png,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
19,산모신생아 건강관리 지원,http://news.seoul.go.kr/welfare/archives/206803,http://mblogthumb1.phinf.naver.net/MjAxODA3MDlfMTcg/MDAxNTMxMTAyODI2NTc3.hJkJE_82nyBFWZMuX5qYRxGWoB2tzObGs7M1GDYTL9Eg.T-is38rYd4R_p970Q4KNUvOuY75d0Jmt8iLU6ZzhSw4g.PNG.swf1004/180706_%EB%B3%B5%EC%A7%80%EC%9E%AC%EB%8B%A8_%ED%8E%98%EB%B6%81-2-1.png?type=w800,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20,우리동네키움센터,http://news.seoul.go.kr/welfare/archives/507330,http://www.eroun.net/news/photo/201903/4668_18502_4928.jpg,6,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,저소득층 주거지원,http://news.seoul.go.kr/welfare/archives/101191,http://www.gjdaily.net/news/photo/201705/30081_24260_3226.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,아동발달지원계좌(CDA),http://news.seoul.go.kr/welfare/archives/101182,https://welfaresystem.kr/wp-content/uploads/2017/07/%EC%95%84%EB%8F%99%EB%B0%9C%EB%8B%AC%EC%A7%80%EC%9B%90-%EA%B3%84%EC%A2%8C-%EB%94%94%EB%94%A4%EC%94%A8%EC%95%97%ED%86%B5%EC%9E%A5.jpg,0,18,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
